Compound ID,SMILES
427,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)CCC3=CC=C(S(=O)(=O)NC4=C(NC5=CC=C(I)C=C5F)N(C)C(=O)C(C)=C4)C=C3)C(C)(C)C)C=C2)SC=N1
2638,CC1=CC(CN2C(N3CC4(CNC4)C3)=NC3=C(N4CCN(CCCC(=O)NCCCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)N[C@@H](C)C5=CC=C(C6=C(C)N=CS6)C=C5)C(C)(C)C)CC4)C=C(Cl)C=C32)=CC(C)=C1F
1998,CN(CCOCCOCCOCCN1CCN(C2=CC=C(NC3=NC=C4N=C(NC5=CC=CC=C5)N(C5CCCC5)C4=N3)C=C2)CC1)CC(=O)NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O
2313,CC1(C)[C@H](NC(=O)C2=CC=C(N3CCN(CCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)C=C2)C(C)(C)[C@H]1OC1=CC=C(C#N)C(Cl)=C1
2222,CCC1=CC2=C(C=C1N1CCC(N3CCN(CCCC#CC4=CC=CC5=C4CN(C4CCC(=O)NC4=O)C5=O)CC3)CC1)C(C)(C)C1=C(C2=O)C2=CC=C(C#N)C=C2[NH]1
1812,CN(C1=NC=CN=C1CNC1=NC(NC2=CC=C(NC(=O)C3=CN(CCOCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=N3)C=C2)=NC=C1C(F)(F)F)S(C)(=O)=O
2744,COC1=CC=C(C2=C(C(=O)NCCCC3=CN(CCOCCOCCOCCNC(=O)CNC4=CC=CC5=C4CN(C4CCC(=O)NC4=O)C5=O)N=N3)N=CO2)C=C1Cl
2524,CN(C1=CC=C(C#N)C(Cl)=C1)[C@H]1CC[C@H](NC(=O)C2=CC=C(N3CCN(C4CCN(C5=CC=C6C(=O)N(C7CCC(=O)NC7=O)C(=O)C6=C5)CC4)CC3)C=C2)CC1
2352,CCC(=O)N[C@H]1CC[C@@H](N2C(=O)C=C(C)C3=CN=C(NC4=CC=C(N5CCN(C(=O)CCCC#CC6=CC=C7C(=O)N(C8CCC(=O)NC8=O)CC7=C6)CC5)C=C4OC)N=C32)CC1
2855,CCS(=O)(=O)N1CC(CC#N)(N2C=C(C3=NC(NC4=CC=C(C(=O)NC5CCN(C6=CC=C(C7CCC(=O)NC7=O)C=C6)CC5)C=C4)=NC4=C3C=C[NH]4)C=N2)C1
605,O=C(CCC(=O)N1CCC(NC(=O)C2=C(NC(=O)C3=C(Cl)C=CC=C3Cl)C=N[NH]2)CC1)NCCCCCCNC(=O)COC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O
2064,CCCS(=O)(=O)NC1=CC=C(F)C(N2C=C(C3=CN=CN=C3)C3=NC(N(C)C4CCN(C(=O)CCOCCOCCN5C=C(COCCNC6=CC=CC7=C6C(=O)N(C6CCC(=O)NC6=O)C7=O)N=N5)CC4)=CC=C32)=C1F
950,C=CC(=O)N1CCN(C2=NC(NCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)=NC3=C(F)C(C4=CC(O)=CC5=CC=CC=C45)=C(Cl)C=C23)CC1
2910,O=C1CCC(N2C(=O)C3=CC=CC(NCC4=CN(CCC(=O)NC5=CC=C(N6CC7=CC=C(O)C=C7OC6=O)C=C5)N=N4)=C3C2=O)C(=O)N1
434,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOCCNCC3=CC=C(S(=O)(=O)NC4=C(NC5=CC=C(I)C=C5F)N(C)C(=O)C(C)=C4)C=C3)C(C)(C)C)C=C2)SC=N1
2637,CC1=CC(CN2C(N3CC4(CNC4)C3)=NC3=C(N4CCN(CCC(=O)NCCCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)N[C@@H](C)C5=CC=C(C6=C(C)N=CS6)C=C5)C(C)(C)C)CC4)C=C(Cl)C=C32)=CC(C)=C1F
812,COC1=CC2=C(OC[C@@H]3CCC(=O)N3)N=CC(C#CCCCCCCCCCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)=C2C=C1C(N)=O
486,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C(=O)CCN3CCC(C#CC4=CC=CC5=C4CN(C4CCC(=O)NC4=O)C5=O)CC3)C[C@H](NC(=O)C3=CC4=CC(C(F)(F)P(=O)(O)O)=CC=C4[NH]3)C(=O)N12)C(=O)NC(C1=CC=CC=C1)C1=CC=CC=C1
2433,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCC(=O)NC3=CC=C(C(=O)NC4=CC=C(F)C=C4N)C=C3)C(C)(C)C)C=C2)SC=N1
1311,NC(=O)C1=CC=CC2=CN(C3=CC=C([C@@H]4CCCN(CCOCCOCCOCCOCCOCCOCCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)C4)C=C3)N=C12
2844,O=C(CCCO/N=C1C(=C2/C(=O)N(CC3=CN(CCOCCOCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=N3)C3=CC=CC=C23)/NC2=CC=CC=C/12)NO
3099,CCCCN1C=C(C2=CC=C(O[C@H]3CCN(CC4CCN(C(=O)C5=CC=C(OC)C(N6CCC(=O)NC6=O)=C5)CC4)C[C@@H]3F)C(OC)=C2)C2=CC=NC=C2C1=O
2441,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1OCCCCNC(=O)CCCCCCCC(=O)NC1=CC=C(C(=O)NC2=CC=CC=C2N)C=C1)C(C)(C)C
3181,NC1=NC=NC2=C1C(C1=CC=C(OC3=CC=CC=C3)C=C1)=NN2[C@@H]1CCCN(C(=O)CCCCCCCCNC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=C2)C1
2168,CNC1=CC(NC2=CC(C)=CC(OCCOCCOCCOCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)N[C@@H](C)C3=CC=C(C4=C(C)N=CS4)C=C3)C(C)(C)C)=C2)=NN2C(C(N)=O)=CN=C12
1061,CC/C(=C(\C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C(=O)COCCOCCOCCOC2=CC=CC(O[C@@H]3C[C@@H](C(=O)N[C@@H]4CCCC5=CC=CC=C54)N(C(=O)[C@@H](NC(=O)[C@H](C)NC)C4CCCCC4)C3)=C2)C=C1)C1=CC=CC=C1
1109,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(C2=CC=CC(OCCCCC3=CN(CCOCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=N3)=C2)=C(C2=CC=C(F)C=C2)N1CC[C@@H](O)C[C@@H](O)CC(=O)O
270,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCOCCOCCOCCOCCOC3=CC=C(NC4=NC=C(C(F)(F)F)C(NCC5=CC=CC(N(C)S(C)(=O)=O)=C5)=N4)C=C3)C(C)(C)C)C=C2)SC=N1
2247,O=C(CN1CCC(SCC2=NC3=CC(NC4CCCC4)=CC(F)=C3C(=O)[NH]2)CC1)NCCCCCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O
439,CC1=CC(NS(=O)(=O)C2=CC=C(CNCCOCCOCCOCC(=O)NC3=CC=CC4=C3CN(C3CCC(=O)NC3=O)C4=O)C=C2)=C(NC2=CC=C(I)C=C2F)N(C)C1=O
239,CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(CC(=O)NCCOCCOCCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=N3)N=C2N(C2CCCC2)C1=O
